"lex_1";"lex_2";"w1w2";"w1";"w2";"freq1";"freq2";"joint";"dice";"loglikelihood";"mi3";"tscore";"agr"
"престиж";"и";"312";"978";"3740338";"978";"3740338";"312";"5.301202389213273";"1463.8388220797372";"14.622231946088291";"16.896103986628862";"15.71810266787039"
"престиж";"в";"133";"978";"3501517";"978";"3501517";"133";"4.514510179141167";"400.02403610787724";"12.130249445835817";"10.432218026309418";"11.24924028245811"
"престиж";"не";"72";"978";"1787575";"978";"1787575";"72";"4.572895828562546";"220.26228189940576";"10.96153676863472";"7.72180375726523";"9.200154118570218"
"престиж";"свой";"49";"978";"400917";"978";"400917";"49";"5.681021339216366";"252.05060367096303";"11.301860114309253";"6.792434716399569";"8.761686310312975"
"престиж";"для";"48";"978";"375430";"978";"375430";"48";"5.725919251015215";"251.06570428099963";"11.305684640323147";"6.731818986813787";"8.723979740958615"
"престиж";"на";"46";"978";"1678352";"978";"1678352";"46";"4.187883114739076";"107.96521889285786";"9.680510194216057";"5.88551589946044";"7.548165118950928"
"престиж";"по";"46";"978";"636528";"978";"636528";"46";"5.156469609313907";"189.93773123099243";"10.650049425180391";"6.442206293311091";"8.2831042146632"
"престиж";"профессия";"45";"978";"6425";"978";"6425";"45";"9.590169067887167";"593.4588377345797";"15.179944481846135";"6.704732848206214";"10.088482165389422"
"престиж";"быть";"43";"978";"1224175";"978";"1224175";"43";"4.4357710041324605";"119.75684440361961";"9.793731563688453";"5.880876583212298";"7.589184845236185"
"престиж";"страна";"43";"978";"92964";"978";"92964";"43";"7.00391444671393";"333.6089830209014";"12.371541668959381";"6.506060327319165";"8.971621728550115"
"престиж";"о";"42";"978";"366197";"978";"366197";"42";"5.617222946221251";"210.56734265285996";"10.929991058204386";"6.275960281815394";"8.28228167607744"
"престиж";"а";"41";"978";"808920";"978";"808920";"41";"4.802055654470893";"141.68907861603302";"10.065169818776035";"5.945286137984083";"7.7356521767737805"
"престиж";"это";"40";"978";"637966";"978";"637966";"40";"5.0144545420872575";"154.16105503866845";"10.228507015269573";"5.958989297834784";"7.807148252519571"
"престиж";"повышение";"38";"978";"10303";"978";"10303";"38";"8.99985816668141";"452.0309758544147";"14.200477007532687";"6.1583568270543845";"9.351556262289595"
"престиж";"который";"37";"978";"485826";"978";"485826";"37";"5.208448236215551";"156.15788747687742";"10.267056846146138";"5.793309449398732";"7.7123431876630315"
"престиж";"но";"37";"978";"553645";"978";"553645";"37";"5.0780212105695774";"146.961609148861";"10.136383694122044";"5.752903175355098";"7.636336421382465"
"престиж";"что";"37";"978";"1229370";"978";"1229370";"37";"4.28125747904255";"92.65608090815505";"9.33865025922135";"5.350309071517909";"7.068568822445252"
"престиж";"как";"37";"978";"690514";"978";"690514";"37";"4.857458232236926";"131.5703146148985";"9.915471133442399";"5.6713572026619286";"7.498945167850941"
"престиж";"за";"34";"978";"393937";"978";"393937";"34";"5.333081874322929";"151.53868794874086";"10.223044219129292";"5.586110074352655";"7.556920689211368"
"престиж";"россия";"32";"978";"115496";"978";"115496";"32";"6.493459732244906";"215.42303564315426";"11.268125454388125";"5.5828613170140615";"7.931480423890925"
"престиж";"с";"31";"978";"1190048";"978";"1190048";"31";"4.136808706551308";"69.65279601544381";"8.84036633534535";"4.793156471343956";"6.50947456476418"
"престиж";"ее";"31";"978";"126092";"978";"126092";"31";"6.374640990346512";"201.3477444649418";"11.085103457526461";"5.485690481563669";"7.798041197897163"
"престиж";"только";"29";"978";"258572";"978";"258572";"29";"5.593738369291044";"143.76303297920185";"10.166866948129014";"5.211152173126622";"7.278811083592687"
"престиж";"его";"28";"978";"261514";"978";"261514";"28";"5.547375806376218";"136.26306005919346";"10.050279354485268";"5.112394940209943";"7.168053942289143"
"престиж";"наука";"28";"978";"34327";"978";"34327";"28";"7.553571814784702";"248.39359582568852";"12.080834957315911";"5.267992487309471";"7.977577815074313"
"престиж";"арбат";"27";"978";"1120";"978";"1120";"27";"10.340244257608031";"422.7599810903948";"15.394335556022444";"5.1953712727268675";"8.943114038771775"
"престиж";"международный";"27";"978";"22542";"978";"22542";"27";"7.923377644551711";"260.1763532447872";"12.392284005509559";"5.180430384453201";"8.012325791860635"
"престиж";"поднять";"26";"978";"13942";"978";"13942";"26";"8.340785844823674";"273.4980196918618";"12.759537390316698";"5.089110357042801";"8.058206617116216"
"престиж";"наш";"24";"978";"169643";"978";"169643";"24";"5.824001009484769";"129.69340409979677";"10.020618905401905";"4.773483854035104";"6.916159523346386"
"престиж";"власть";"22";"978";"50810";"978";"50810";"22";"6.9292758927397236";"167.32456767992807";"10.965187817785766";"4.6511570394530715";"7.141485175201257"
"престиж";"высокий";"21";"978";"49691";"978";"49691";"21";"6.904600055551875";"158.68717092009302";"10.847897126301403";"4.543278063569575";"7.0203285571107426"
"престиж";"этот";"20";"978";"562634";"978";"562634";"20";"4.4467581036377";"55.74149302733796";"8.274721136048043";"4.01619431137426";"5.764797303878473"
"престиж";"государство";"20";"978";"39324";"978";"39324";"20";"7.084723079619017";"158.46309995221145";"10.935515444473754";"4.440268970078793";"6.968258742319649"
"престиж";"вопрос";"19";"978";"86543";"978";"86543";"19";"6.257952116176073";"118.94090781889722";"9.992829180569515";"4.286945193912956";"6.545128801577218"
"престиж";"соображение";"19";"978";"3542";"978";"3542";"19";"9.221318886900109";"239.8949162854805";"13.18877904145514";"4.355954047001596";"7.579559053179568"
"престиж";"то";"19";"978";"594460";"978";"594460";"19";"4.340533611558909";"49.32540115058173";"8.065817150380031";"3.8646518524565603";"5.583151009223383"
"престиж";"падение";"19";"978";"5252";"978";"5252";"19";"8.900454547944886";"224.90492451518693";"12.794861624375232";"4.354532315470872";"7.46429088496155"
"престиж";"служба";"19";"978";"22154";"978";"22154";"19";"7.588613940448277";"170.27499398281657";"11.35545251372104";"4.340479621709301";"7.02054914028054"
"престиж";"общество";"17";"978";"38598";"978";"38598";"17";"6.940382371708617";"129.78517851156693";"10.46659321382819";"4.089179159361943";"6.542153685102894"
"престиж";"социальный";"17";"978";"34097";"978";"34097";"17";"7.0611166196454995";"133.969801849508";"10.590584271605389";"4.093135401255744";"6.58397261553314"
"престиж";"авторитет";"17";"978";"3958";"978";"3958";"17";"9.022049959030937";"207.03777408057832";"12.744054828304733";"4.119626664183386";"7.245739995369638"
"престиж";"дело";"17";"978";"137097";"978";"137097";"17";"5.690808229846773";"87.38695490005225";"9.199104970994325";"4.002601538767042";"6.067977563585863"
"престиж";"российский";"16";"978";"69698";"978";"69698";"16";"6.299874571063186";"101.51800312971615";"9.693748187085609";"3.936852143988232";"6.177609030491491"
"престиж";"поднимать";"16";"978";"5953";"978";"5953";"16";"8.621976520881741";"179.83167428388796";"12.15402451586455";"3.9946064566151387";"6.9678220991161375"
"престиж";"тот";"15";"978";"304361";"978";"304361";"15";"4.772019467894248";"50.70501277272086";"8.026089749737302";"3.5881822490239723";"5.366476755663872"
"престиж";"ради";"15";"978";"11455";"978";"11455";"15";"7.9730878747092175";"147.02587154597603";"11.305877930717632";"3.8622645071701016";"6.60804744642534"
"престиж";"он";"14";"978";"1040179";"978";"1040179";"14";"3.4763613574271925";"16.38505984921626";"6.590177539452355";"2.734163663734194";"4.244834975111265"
"престиж";"статус";"14";"978";"8184";"978";"8184";"14";"8.209384735728516";"144.68054367741522";"11.43514460351291";"3.7337305504992644";"6.534198401909216"
"престиж";"еще";"14";"978";"241349";"978";"241349";"14";"4.934161177469727";"51.57022947090073";"8.051081613424582";"3.5078922342743044";"5.314351011105752"
"престиж";"какой";"14";"978";"102364";"978";"102364";"14";"5.786405354931215";"74.5935816602566";"8.908790543869411";"3.6425099443960036";"5.696521583263371"
