"lex_1";"lex_2";"w1w2";"w1";"w2";"freq1";"freq2";"joint";"dice";"loglikelihood";"mi3";"tscore";"agr"
"статус";"в";"18899";"106678";"34567930";"106678";"34567930";"18899";"7.178493251028481";"27512.11395402033";"21.126456499708798";"104.66458933741234";"47.023312236556954"
"статус";"и";"18180";"106678";"20960357";"106678";"20960357";"18180";"7.6380044938180705";"40413.78863786572";"21.510389216000924";"114.54980221677145";"49.63880367513584"
"статус";"о";"10459";"106678";"3402055";"106678";"3402055";"10459";"8.877599749698003";"47067.85475874094";"21.670064736016258";"97.92879134816211";"46.0665089629603"
"статус";"получить";"6910";"106678";"854926";"106678";"854926";"6910";"9.757514094833455";"43925.45554997978";"21.80770511834082";"81.78448204734602";"42.23188212411046"
"статус";"на";"6590";"106678";"14958401";"106678";"14958401";"6590";"6.958565833580795";"6971.257746270547";"18.80344280523973";"57.13617874769138";"32.77738350131335"
"статус";"не";"6572";"106678";"9480505";"106678";"9480505";"6572";"7.407782999491345";"11559.787221687388";"19.2512728571382";"65.8090048207055";"35.59363859259298"
"статус";"особый";"6026";"106678";"150684";"106678";"150684";"6026";"10.938746967152062";"57574.93342880751";"23.132876513815102";"77.3740398538897";"42.307021985895425"
"статус";"иметь";"5719";"106678";"612921";"106678";"612921";"5719";"9.858247033078634";"37916.38139070907";"21.5729569620422";"74.56656123671343";"40.107620427633236"
"статус";"быть";"5580";"106678";"8568915";"106678";"8568915";"5580";"7.344066997125659";"9210.525492453162";"18.861481050522524";"59.731928958305254";"33.56534889075685"
"статус";"по";"5346";"106678";"7876215";"106678";"7876215";"5346";"7.384439642203101";"9176.313629333812";"18.81725423612848";"59.06096191727367";"33.33714348632229"
"статус";"свой";"4570";"106678";"2662315";"106678";"2662315";"4570";"8.286421390286735";"15283.951930474397";"19.431399411168428";"62.46322070520811";"34.83888330631257"
"статус";"с";"4523";"106678";"8696407";"106678";"8696407";"4523";"7.119465163842203";"5843.592485063139";"18.21667236113903";"50.381267567270704";"30.29486828510483"
"статус";"закон";"4287";"106678";"535993";"106678";"535993";"4287";"9.683101438957546";"27056.8042000344";"20.84245158204909";"64.4070613428991";"36.638791704714286"
"статус";"что";"3957";"106678";"9162764";"106678";"9162764";"3957";"6.934154880389831";"4023.0016120072432";"17.763366448818783";"43.899023630461976";"27.92479979325279"
"статус";"этот";"3673";"106678";"3765559";"106678";"3765559";"3673";"7.732568292196497";"8513.289329039966";"18.429185819009625";"52.498309405862855";"31.104679699757515"
"статус";"который";"3616";"106678";"4472746";"106678";"4472746";"3616";"7.549187118082764";"7215.300026951066";"18.210158631410255";"50.42809374501433";"30.303524325997763"
"статус";"он";"3114";"106678";"4492660";"106678";"4492660";"3114";"7.39538759489452";"5407.348806178831";"17.757335107783756";"45.29852049089094";"28.361611524092908"
"статус";"правовой";"2889";"106678";"73219";"106678";"73219";"2889";"10.561673137157674";"27436.84940038416";"21.649087434809704";"53.57167677308104";"34.05551224823664"
"статус";"язык";"2761";"106678";"175457";"106678";"175457";"2761";"10.066354433717086";"21101.841086180193";"20.63919592068964";"52.109529097961556";"32.794798069018604"
"статус";"а";"2744";"106678";"4010340";"106678";"4010340";"2744";"7.3796794965476185";"4700.636628267147";"17.49142994534028";"42.39404819231915";"27.23109480089499"
"статус";"его";"2679";"106678";"1809684";"106678";"1809684";"2679";"8.120406895155796";"8187.76258119146";"18.215234368790348";"47.197049508748336";"29.320731885770726"
"статус";"вопрос";"2622";"106678";"919535";"106678";"919535";"2622";"8.723453959377942";"11236.431161960956";"18.827755169024865";"48.86236458518411";"30.330984774475716"
"статус";"как";"2607";"106678";"3759660";"106678";"3759660";"2607";"7.391284230697669";"4520.328455722634";"17.402327718576302";"41.45112849884588";"26.857887527535254"
"статус";"для";"2547";"106678";"3129213";"106678";"3129213";"2547";"7.546003782506137";"5092.876437045043";"17.5160228942588";"42.37759258827346";"27.244942319259366"
"статус";"беженец";"2478";"106678";"50535";"106678";"50535";"2478";"10.542997389989997";"24622.351949135278";"21.559500304579828";"49.6470549293085";"32.716443814539474"
"статус";"за";"2450";"106678";"3373966";"106678";"3373966";"2450";"7.434262591997818";"4430.993638218918";"17.324231008160236";"40.60347149368545";"26.522140183059427"
"статус";"официальный";"2434";"106678";"315573";"106678";"315573";"2434";"9.53708325117493";"15145.394509610527";"19.674029070200408";"48.50098401145282";"30.89028600344529"
"статус";"государственный";"2428";"106678";"483700";"106678";"483700";"2428";"9.199452044037841";"13058.595504708454";"19.239549860248417";"47.99391034416724";"30.38718860070635"
"статус";"русский";"2363";"106678";"384247";"106678";"384247";"2363";"9.356787812128422";"13647.7925861936";"19.388321540128732";"47.57931950265066";"30.37240762893039"
"статус";"россия";"2350";"106678";"2868995";"106678";"2868995";"2350";"7.549336997832431";"4720.892948510292";"17.36134003174147";"40.75469750594276";"26.59992784372616"
"статус";"год";"2135";"106678";"5721438";"106678";"5721438";"2135";"6.7811647562113695";"1728.5509599908642";"16.383235609147455";"30.04961256311905";"22.18805720619038"
"статус";"об";"2109";"106678";"1281318";"106678";"1281318";"2109";"8.203744822838367";"6847.018797256489";"17.842808310326394";"42.2833732900375";"27.46732830706536"
"статус";"мочь";"2070";"106678";"2104304";"106678";"2104304";"2070";"7.719503748125534";"4804.389627902576";"17.290716892205015";"39.462452003741625";"26.12152532814508"
"статус";"они";"2035";"106678";"2916143";"106678";"2916143";"2035";"7.3896972191308";"3542.309803829003";"16.913281445462616";"36.67634048705481";"24.906169296926684"
"статус";"социальный";"1967";"106678";"255873";"106678";"255873";"1967";"9.476491565912827";"12218.191489565335";"19.24465851107202";"43.598104417407185";"28.966025465069624"
"статус";"новый";"1944";"106678";"1583882";"106678";"1583882";"1944";"7.925079772622242";"5270.358736996648";"17.38642016395035";"39.40360642057319";"26.174179207818863"
"статус";"их";"1849";"106678";"813040";"106678";"813040";"1849";"8.483725031648369";"7116.067853574356";"17.90296566887105";"40.53292087698497";"26.93806769090405"
"статус";"такой";"1842";"106678";"1677329";"106678";"1677329";"1842";"7.817381881493987";"4627.797114404171";"17.167409007741934";"37.81919810136675";"25.48053457349316"
"статус";"от";"1819";"106678";"2688277";"106678";"2688277";"1819";"7.355862794815231";"3072.5985131404564";"16.658016072164624";"34.425467579488";"23.947024705188188"
"статус";"страна";"1817";"106678";"1574444";"106678";"1574444";"1817";"7.863117263351153";"4724.534831146899";"17.189714015665757";"37.80692289400756";"25.4929439720154"
"статус";"к";"1779";"106678";"3538261";"106678";"3538261";"1779";"7.068103680194693";"2181.8384965131754";"16.31657470404607";"31.232544533739492";"22.574502122576394"
"статус";"кво";"1770";"106678";"1809";"106678";"1809";"1770";"10.577496377011842";"31315.92518330685";"23.879975553829656";"42.06575756526291";"31.694309620368816"
"статус";"то";"1736";"106678";"3834190";"106678";"3834190";"1736";"6.9655745142010845";"1863.1588562696124";"16.16284849022352";"29.658226031632957";"21.8943237812472"
"статус";"российский";"1679";"106678";"1590221";"106678";"1590221";"1679";"7.77478781198666";"4099.920356990492";"16.942777975505575";"35.91185831203193";"24.666711213061447"
"статус";"донбасс";"1660";"106678";"56108";"106678";"56108";"1660";"10.107528328143742";"14776.703642047021";"20.252985522733532";"40.56341317834861";"28.662348470663616"
"статус";"но";"1571";"106678";"2784138";"106678";"2784138";"1571";"7.175565445639865";"2199.7305767773346";"16.183254609114726";"30.470635185913842";"22.20617137903546"
"статус";"это";"1551";"106678";"4649316";"106678";"4649316";"1551";"6.66488606850881";"1031.8243098373175";"15.632035382081389";"23.97911765652334";"19.36084749275882"
"статус";"федеральный";"1551";"106678";"422432";"106678";"422432";"1551";"8.860850715003965";"7386.5364978863645";"18.030482285970457";"37.98318052537691";"26.169735643059642"
"статус";"международный";"1515";"106678";"494682";"106678";"494682";"1515";"8.709368862652063";"6685.250971231477";"17.802142305486207";"37.26471499405781";"25.75639259092008"
"статус";"изменение";"1512";"106678";"218219";"106678";"218219";"1512";"9.323072249295205";"9075.82871485977";"18.61461180807256";"38.15219940620841";"26.649359871688212"
"статус";"предоставление";"1499";"106678";"62331";"106678";"62331";"1499";"9.96799343173743";"12714.641507424214";"19.841746883516223";"38.50686158860473";"27.641335006104327"
"статус";"получение";"1472";"106678";"117859";"106678";"117859";"1472";"9.665728696573687";"10553.681984200597";"19.15018818667468";"37.9658330315079";"26.963917505014845"
"статус";"лишить";"1420";"106678";"57015";"106678";"57015";"1420";"9.945811329858753";"12143.629641124999";"19.768467344215786";"37.485470349328416";"27.22187165650569"
"статус";"депутат";"1412";"106678";"430598";"106678";"430598";"1412";"8.751642390677215";"6414.909253515354";"17.729657597461113";"36.081405694902";"25.292508151737263"
"статус";"со";"1412";"106678";"1001046";"106678";"1001046";"1412";"8.028091580826619";"4176.897838345101";"16.886031805393433";"34.10061615160024";"23.996334905969174"
"статус";"присвоить";"1340";"106678";"20541";"106678";"20541";"1340";"10.139906783702308";"14086.216318797817";"20.615397073567024";"36.532793962362454";"27.443360831736953"
"статус";"город";"1279";"106678";"828063";"106678";"828063";"1279";"8.098956217588626";"3994.2205618137914";"16.7789574498284";"32.74199120485141";"23.43878147960891"
"статус";"наблюдатель";"1273";"106678";"51438";"106678";"51438";"1273";"9.87119455926931";"10868.486276172447";"19.543562880286736";"35.49101658499204";"26.33668381391422"
"статус";"должен";"1269";"106678";"1037609";"106678";"1037609";"1269";"7.88883935469023";"3425.7942238766673";"16.529824379854976";"31.82251047985805";"22.935137007616678"
"статус";"высокий";"1266";"106678";"347137";"106678";"347137";"1266";"8.811319878273565";"6009.598605925938";"17.6176785769426";"34.30790761190029";"24.585070448422588"
"статус";"украина";"1258";"106678";"639222";"106678";"639222";"1258";"8.308078795877076";"4493.309283862789";"16.98812878343804";"33.116763045700274";"23.71901843481214"
"статус";"организация";"1253";"106678";"565215";"106678";"565215";"1253";"8.40858875481904";"4755.6377646133315";"17.09922695849105";"33.31431555205128";"23.867321646789634"
"статус";"юридический";"1253";"106678";"85614";"106678";"85614";"1253";"9.659672806408583";"9377.2612712696";"18.9865843270509";"35.08216047523113";"25.808727171987925"
"статус";"из";"1250";"106678";"3733954";"106678";"3733954";"1250";"6.6628985165014";"835.6048411900526";"15.204018769631153";"21.57520070020928";"18.11159176893464"
"статус";"или";"1232";"106678";"1221959";"106678";"1221959";"1232";"7.70987716196444";"2904.8706351093506";"16.277517128205737";"30.55739974583725";"22.302434794351388"
"статус";"политический";"1227";"106678";"380918";"106678";"380918";"1227";"8.708232152160699";"5530.327006271549";"17.43094348880615";"33.609669425555765";"24.204302271173166"
"статус";"она";"1185";"106678";"1743547";"106678";"1743547";"1185";"7.339827422848358";"2005.5257808336582";"15.80536262122466";"27.815158365514858";"20.967323728453113"
"статус";"также";"1142";"106678";"1501140";"106678";"1501140";"1142";"7.443295032540256";"2143.686969438089";"15.844174355750512";"27.99749863888775";"21.06174850195076"
"статус";"территория";"1132";"106678";"436518";"106678";"436518";"1132";"8.519662947893814";"4631.570733664833";"17.05293944828574";"31.952357344773393";"23.342699394680317"
"статус";"предоставить";"1123";"106678";"113326";"106678";"113326";"1123";"9.415505128310995";"7531.263124168985";"18.37755352678829";"33.06994766223561";"24.652479252416423"
"статус";"придать";"1101";"106678";"14967";"106678";"14967";"1101";"9.988259071436403";"11844.983284494972";"20.342619916160217";"33.1224654043373";"25.957613996794848"
"статус";"республика";"1095";"106678";"354186";"106678";"354186";"1095";"8.650798555202009";"4847.746946712079";"17.16225201141512";"31.694210216113802";"23.322607552152327"
"статус";"сохранить";"1071";"106678";"91201";"106678";"91201";"1071";"9.474084239246636";"7543.330983242814";"18.452523632949983";"32.362519087096835";"24.437065050378887"
"статус";"при";"1068";"106678";"1397566";"106678";"1397566";"1068";"7.442889195704129";"2012.2488390054639";"15.71468691099411";"27.100370489133805";"20.636710915470083"
"статус";"крым";"1065";"106678";"139522";"106678";"139522";"1065";"9.24997776597098";"6591.675615427344";"18.010513223049454";"32.07650049521026";"24.03568672449649"
"статус";"государство";"1055";"106678";"596919";"106678";"596919";"1055";"8.190482198419904";"3555.142438967576";"16.528651995474192";"30.08287609083717";"22.298640988374576"
"статус";"придание";"1045";"106678";"3311";"106678";"3311";"1045";"10.036783705184636";"14575.495980543092";"21.694611518170813";"32.3130956215619";"26.476783348044595"
"статус";"регион";"1041";"106678";"620851";"106678";"620851";"1041";"8.143675109398664";"3406.334268054186";"16.449265371827526";"29.75379218903061";"22.123020217311502"
"статус";"определение";"1041";"106678";"46992";"106678";"46992";"1041";"9.698521524125535";"8653.338195247212";"19.030379114927833";"32.07449460114757";"24.706067922264445"
"статус";"у";"1040";"106678";"2330337";"106678";"2330337";"1040";"6.933838684998222";"1091.3416142331691";"15.123705088651226";"22.82055103342627";"18.57770932569605"
"статус";"до";"1023";"106678";"2101804";"106678";"2101804";"1023";"7.015825986854344";"1201.5661751816654";"15.177478278833734";"23.41016310820069";"18.849595276256483"
"статус";"военнослужащий";"1020";"106678";"93756";"106678";"93756";"1020";"9.412464792357518";"7028.643076002394";"18.27852333957153";"31.55440371653215";"24.015992688183754"
"статус";"ее";"1012";"106678";"679456";"106678";"679456";"1012";"8.037948490066107";"3090.8992257420086";"16.274304355082037";"29.0251159909476";"21.733926740886925"
"статус";"член";"995";"106678";"378522";"106678";"378522";"995";"8.503573461666505";"4095.552125706589";"16.808499299652237";"29.977882176396886";"22.447343084806814"
"статус";"компания";"987";"106678";"1475721";"106678";"1475721";"987";"7.313364612094508";"1643.6053850811845";"15.423653438936821";"25.287617096533726";"19.749112445714363"
"статус";"решение";"934";"106678";"811043";"106678";"811043";"934";"7.802974916948307";"2418.8919150013317";"15.85665352455409";"27.098751879062064";"20.72909837629573"
"статус";"федерация";"916";"106678";"281910";"106678";"281910";"916";"8.642888609867745";"4141.413523542968";"16.855006506498498";"29.050139100632535";"22.127816963176638"
"статус";"уже";"915";"106678";"1502964";"106678";"1502964";"915";"7.2205488938489735";"1386.1217232299575";"15.178123041995443";"23.76594258079439";"18.992693350346496"
"статус";"чтобы";"914";"106678";"1088479";"106678";"1088479";"914";"7.517189636542905";"1865.6446930229242";"15.497500410017643";"25.5347188630334";"19.892820716267096"
"статус";"определить";"892";"106678";"111091";"106678";"111091";"892";"9.195423166204236";"5608.657093899591";"17.706593996015776";"29.381040238841265";"22.80872970355352"
"статус";"региональный";"880";"106678";"216119";"106678";"216119";"880";"8.78829016637775";"4362.105176127165";"17.000481824049828";"28.714208340896654";"22.09423854744475"
"статус";"человек";"872";"106678";"2042016";"106678";"2042016";"872";"6.883565830793098";"860.2713251053872";"14.727220721116778";"20.50686297986119";"17.378408943344446"
"статус";"национальный";"871";"106678";"354126";"106678";"354126";"871";"8.42206108853075";"3474.174738225755";"16.475818432088374";"27.94708192743134";"21.458123113242156"
"статус";"сохранение";"870";"106678";"59584";"106678";"59584";"870";"9.440320255844231";"6503.790883977264";"18.254637836830476";"29.232184109157085";"23.100279957009473"
"статус";"совет";"844";"106678";"529443";"106678";"529443";"844";"8.068155599356851";"2681.7925320573563";"15.979177256805352";"26.673810825556252";"20.645230715495934"
"статус";"нейтральный";"841";"106678";"11457";"106678";"11457";"841";"9.748155523235319";"9042.02304187518";"19.801719366546543";"28.94845191494873";"23.942203760635355"
"статус";"лицо";"832";"106678";"363675";"106678";"363675";"832";"8.355740865772418";"3204.275864237823";"16.31178199434329";"27.199313600730516";"21.063458259528336"
"статус";"повышение";"820";"106678";"138776";"106678";"138776";"820";"8.99158668486675";"4660.203678948414";"17.231597181854976";"28.00330736003045";"21.966832092673705"
"статус";"только";"818";"106678";"1392649";"106678";"1392649";"818";"7.179482618437925";"1192.7940700631739";"14.918169325474942";"22.24732207953398";"18.21782966823615"
"статус";"один";"794";"106678";"2046964";"106678";"2046964";"794";"6.787559721335875";"679.0708532208519";"14.443682668486217";"18.699506472293113";"16.434407124782624"
"статус";"референдум";"782";"106678";"53635";"106678";"53635";"782";"9.370118487854512";"5843.029722674641";"18.039907665125728";"27.714006890378926";"22.359743409375117"
"статус";"тот";"779";"106678";"1769642";"106678";"1769642";"779";"6.906335256735802";"801.3634353777225";"14.532045875927855";"19.63769938556742";"16.89307397630005"
"статус";"повысить";"773";"106678";"83721";"106678";"83721";"773";"9.186549079922598";"5073.195970852493";"17.55989258721783";"27.409975511068367";"21.938920342456047"
"статус";"изменить";"771";"106678";"92746";"106678";"92746";"771";"9.137647063772963";"4899.880338531226";"17.44974583035625";"27.331066288170785";"21.83850178014047"
"статус";"агент";"760";"106678";"52560";"106678";"52560";"760";"9.348310396463319";"5665.9126000757515";"17.974545209203963";"27.31933313175132";"22.15970641642095"
"статус";"судья";"757";"106678";"117089";"106678";"117089";"757";"9.004149823092817";"4435.537877403483";"17.16170071446635";"26.958358422182265";"21.50933004523398"
"статус";"приобрести";"756";"106678";"96637";"106678";"96637";"756";"9.098676777257532";"4713.706905080559";"17.349707721419485";"27.036866722551526";"21.658294839142847"
"статус";"подтвердить";"744";"106678";"168685";"106678";"168685";"744";"8.779342709178431";"3802.596949215762";"16.74463531767388";"26.469444993588294";"21.05281937125915"
"статус";"себя";"728";"106678";"903553";"106678";"903553";"728";"7.457758653218703";"1434.3660616268442";"15.001113659053742";"22.612017181158908";"18.4175307735603"
"статус";"район";"722";"106678";"457792";"106678";"457792";"722";"8.031529802668683";"2279.218210435292";"15.656205767731748";"24.647058919924376";"19.643813937719536"
"статус";"мы";"714";"106678";"2539226";"106678";"2539226";"714";"6.475506801079808";"332.50431626029945";"13.909579581392725";"14.321629639676486";"14.11410100602631"
"статус";"бы";"709";"106678";"933579";"106678";"933579";"709";"7.40202435111788";"1326.8659963737705";"14.889086275989474";"22.052301679298157";"18.120116508654625"
